R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
245,125,127,163,152,177,1,50.44799302251776,2.831886123777067
239,177,189,182,171,176,1,0.0,0.0
203,189,203,163,152,177,2,19.039727823696772,0.050874271609156335
138,123,133,104,92,102,2,19.482874503771647,0.6923796611353412
206,199,177,138,123,133,2,7.138831278146043,1.370051478743528
104,92,102,138,123,133,2,14.774443814498714,0.675539597929065
194,106,132,163,152,177,2,40.80383648648112,1.7911197126569518
138,123,133,163,152,177,2,19.924858845171276,0.014581059898748323
245,125,127,211,124,143,2,4.242640687119285,3.5437513836721894
163,152,177,104,92,102,2,11.140054944640259,1.787163742408409
182,171,176,182,171,176,3,10.356334123189733,2.618431411272519
203,189,203,182,171,176,3,14.455235342825821,0.7222934493979519
163,152,177,163,152,177,3,28.584185933760665,0.0027386358777569644
173,82,119,245,125,127,3,40.41627524194512,13.821247002723403
163,152,177,239,177,189,3,20.037875642695443,0.3809732163163207
245,125,127,182,171,176,3,32.702406800607285,9.169586341983967
239,177,189,203,189,203,3,19.217447291136114,15.185246656862418
211,124,143,138,123,133,3,26.158013471099178,13.141659524186695
182,171,176,163,152,177,3,13.083921536603212,1.1433081586831473
104,92,102,239,177,189,3,21.46949704759326,2.0984864688653255
245,125,127,173,82,119,3,34.95012617519162,2.1308214090867104
163,152,177,138,123,133,3,24.98616759045072,0.6413904969350507
182,171,176,239,225,192,3,8.122898262031557,0.629056002617937
104,92,102,245,125,127,3,27.220656216850376,0.3132831495597596
239,177,189,138,123,133,3,21.17152439671062,11.40162140471417
239,177,189,163,152,177,3,24.41667665175265,4.076885530815521
182,171,176,104,92,102,4,11.834636632058096,1.603164446485693
163,152,177,182,171,176,4,24.727342704524677,0.4484342858198083
211,124,143,182,171,176,4,18.281156914479027,11.033062709633349
194,106,132,138,123,133,4,26.765675460017675,5.946417271942135
239,177,189,104,92,102,4,27.3514867780981,9.892093838746522
245,125,127,194,106,132,4,14.684697585666804,13.93276154951197
163,152,177,211,124,143,4,25.451325452115537,0.027904386029715032
163,152,177,245,125,127,4,18.124345376469083,0.35254710096698244
138,123,133,211,124,143,4,19.5655355892781,4.320794157991289
138,123,133,173,82,119,5,22.558978901125208,2.0793852157216084
182,171,176,206,199,177,5,11.934820541680136,1.1158104387030956
206,199,177,163,152,177,5,6.705814051131301,2.012816144022073
182,171,176,203,189,203,5,17.989395431251115,4.5528502728360705
239,177,189,112,100,87,5,21.894396006037134,8.323398656789198
112,100,87,245,125,127,5,10.550271014446192,8.576381939252661
104,92,102,182,171,176,6,12.418328796538098,2.7933072372997336
104,92,102,104,92,102,6,11.96180481249676,2.115317941859104
104,92,102,163,152,177,6,17.55828424257128,6.297644043058072
163,152,177,206,199,177,6,22.303096610946216,0.15897689679445262
104,92,102,239,225,192,6,16.135795507481465,0.2881835970785702
163,152,177,239,222,222,6,27.653466939753454,1.1545546969104576
239,225,192,138,123,133,6,17.652824219275292,6.811569561571982
182,171,176,245,125,127,6,10.659237656369053,2.3707061205957607
203,189,203,211,124,143,6,18.298345521784675,9.185309396403648
138,123,133,182,171,176,6,15.950533182247336,9.805643172296223
194,106,132,104,92,102,6,22.381331653389765,6.371265710867628
245,125,127,203,189,203,6,23.967318661677968,13.733703381326023
138,123,133,239,177,189,6,15.590169425103575,0.8347192050452285
206,199,177,239,177,189,6,16.317837141996584,4.573875175666687
163,152,177,173,82,119,6,26.837005155197897,0.14168279872459028
245,125,127,239,177,189,6,34.225622875450085,18.12113111636847
173,82,119,182,171,176,6,23.054730675704747,7.705454880565945
203,189,203,138,123,133,7,17.84136921272491,0.8849010335758899
182,171,176,138,123,133,7,13.299621127687201,1.3284831702254845
138,123,133,194,106,132,7,20.709163375732455,1.2445438292958986
138,123,133,138,123,133,7,26.321378330836787,5.312054299412692
165,140,132,163,152,177,7,10.200096114362777,5.892540902852796
187,179,149,194,106,132,7,32.934875200903825,5.769053234392271
147,136,110,239,177,189,7,24.318595688094888,0.8425642061780865
182,171,176,165,140,132,7,15.943310005241793,1.725955387795827
104,92,102,206,199,177,7,13.933178591391453,1.9103103063150368
104,92,102,187,179,149,7,15.876493021791678,2.6661526255834196
194,106,132,203,189,203,7,21.724027752548583,4.794314778009971
245,125,127,104,92,102,7,41.60696270026688,7.6552062175188835
182,171,176,239,177,189,7,17.546235971370155,1.1499873293590785
211,124,143,163,152,177,7,22.031350448308583,15.67528036335823
239,225,192,239,177,189,7,15.949206654790784,4.375701706716525
173,82,119,138,123,133,7,24.996517999322823,1.614968062305857
138,123,133,165,140,132,8,17.64491803528981,1.0900897068915787
163,152,177,147,136,110,8,20.628784053161,0.39423955362219565
112,100,87,138,123,133,8,6.8071902573338505,3.575314867977593
147,136,110,104,92,102,8,6.931740330379822,2.5370986150825163
187,179,149,182,171,176,8,8.588985378849035,2.384145856888639
163,152,177,239,225,192,8,25.62793558274139,0.13166746516035793
239,222,222,104,92,102,8,14.48319276165742,3.575240543911819
112,100,87,163,152,177,8,12.569902050638603,4.296917023487021
182,171,176,194,106,132,8,15.384490741610184,1.22663763798647
138,123,133,147,136,110,8,15.32057458055915,2.5326097555702938
104,92,102,211,124,143,8,14.780002503710705,4.003999767161131
203,189,203,245,125,127,8,26.46051547475437,1.4490887712189562
163,152,177,194,106,132,8,24.86861847259749,1.7559606644315346
211,124,143,147,136,110,8,33.23557170872137,13.524947308899254
163,152,177,112,100,87,8,23.031577527304844,0.14153181894227437
206,199,177,245,125,127,8,4.032086204510322,2.510454633312098
194,106,132,147,136,110,8,30.164932806249364,9.40863856436694
206,199,177,211,124,143,8,17.371646501854936,8.513546409600883
173,82,119,163,152,177,8,38.52985393395844,3.4573898075646343
239,177,189,206,199,177,8,22.67590932762693,10.09007209764155
194,106,132,245,125,127,8,26.030734636280606,6.147445969721142
187,179,149,163,152,177,8,20.80335595050286,5.210409794490073
163,152,177,187,179,149,8,33.349337936073695,0.9278448406048405
187,179,149,138,123,133,9,13.064856652271647,3.7908983766479327
104,92,102,203,189,203,9,14.436578942050794,1.3886428393495676
203,189,203,104,92,102,9,17.57160016015424,2.0255085630271212
163,152,177,165,140,132,9,21.91944955648095,0.15200888009924285
138,123,133,206,199,177,9,21.147344878194506,4.85341191156829
239,225,192,203,189,203,9,16.974189145057196,4.640144434051031
147,136,110,182,171,176,9,6.731799783230366,2.545418194505693
182,171,176,247,152,156,9,14.682079205272977,3.0383575438152453
182,171,176,211,124,143,9,14.971534975122417,8.898623778519607
104,92,102,194,106,132,9,16.307831159050423,4.904899333241302
87,82,84,245,125,127,9,21.394392796446823,2.99339793382412
138,123,133,239,225,192,9,13.495247600878045,3.0654167558917873
245,125,127,206,199,177,9,23.30039568145429,3.633634841733548
187,179,149,239,177,189,9,23.662347464879986,8.981560601420748
203,189,203,239,225,192,9,20.34866248593926,0.40658104114219046
182,171,176,173,82,119,9,14.7395971736478,4.949420576490019
211,124,143,245,125,127,9,22.99606480431098,4.995535796576876
104,92,102,233,107,108,9,27.295482768385835,0.7805378852773958
112,100,87,182,171,176,10,5.132616339950653,3.4172562130394626
187,179,149,203,189,203,10,11.725617064148672,4.132728412730428
239,222,222,182,171,176,10,15.189127200984439,2.278901651656848
182,171,176,239,222,222,10,15.575280832456304,1.1266943481989244
222,222,206,182,171,176,10,10.314852293462492,3.883103363256569
203,189,203,187,179,149,10,14.6929107126571,1.4501201235808154
147,136,110,138,123,133,10,11.859810771159042,1.660933697972539
138,123,133,203,189,203,10,12.130145846174571,2.6288747657669655
165,140,132,182,171,176,10,17.47252494329919,6.008011443345402
131,115,94,138,123,133,10,13.674738577571375,3.1120463336162727
138,123,133,239,222,222,10,16.098647449956324,1.2226618358167722
104,92,102,82,79,63,10,12.886816381725794,2.1122916578913253
239,225,192,112,100,87,10,15.321451787660191,0.7947231924528377
104,92,102,173,82,119,10,18.63192125874021,4.518875132199655
131,115,94,182,171,176,10,11.387867251653079,2.3284456968595175
211,124,143,187,179,149,10,22.798775606424705,12.576835086582538
245,125,127,138,123,133,10,30.972533753710877,7.795581456295191
104,92,102,131,115,94,10,12.88360845242774,1.1416488943483984
239,177,189,187,179,149,10,18.76657127017084,9.477106611560139
211,124,143,104,92,102,10,20.168905452191016,12.861420872707964
247,152,156,182,171,176,10,24.98972836992046,15.641539620768677
211,124,143,206,199,177,10,24.28132178885427,8.752340414104001
104,92,102,165,140,132,11,14.867884177958308,4.22310507807031
206,199,177,104,92,102,11,11.186990400802046,3.0004085491917944
163,152,177,203,189,203,11,20.951335126727756,0.2307086006679471
203,189,203,203,189,203,11,18.367024711675292,0.07750986665387925
203,189,203,165,140,132,11,17.513565650516053,0.940084628390968
239,225,192,182,171,176,11,10.669393880662463,1.5439323466324744
163,152,177,233,107,108,11,30.804589017248702,0.17640519501956178
147,136,110,163,152,177,11,10.366444476688416,2.1403609806352684
165,148,123,182,171,176,11,8.552076156645875,2.315492494333306
