Order1,Order2,Count,Norm,Norm_with_weight
5,20,1,49.06337879920467,2.1790532121476027
7,24,1,33.20216373098159,33.20216373098159
26,20,2,5.577982540507145,0.0009857850480211
16,11,2,7.752270022877792,0.5382877128293914
27,16,2,34.31576962722701,31.745863462510773
11,16,2,3.366284854909854,0.1753356874766052
2,20,2,32.73105020398723,0.0674681310815043
16,20,2,12.321891386650218,0.009982759056374
5,3,2,41.765509162684346,34.707306745328054
20,11,2,7.875854007545086,0.5507394474358628
24,24,3,0.0,0.0
26,24,3,10.763260079039616,0.0002418472039683
20,20,3,4.606279156990006,9.472154984644353e-05
1,5,3,24.07519317049072,2.089585107061394
20,7,3,26.46467245454514,0.1706412244665476
5,24,3,96.15254427626384,4.270425632911236
7,26,3,50.76871734081975,50.2793807114495
3,16,3,39.653603932330505,26.649298441837843
24,20,3,13.856450194100644,0.1476852088371724
11,7,3,18.889667784853454,4.620772659777033
5,1,3,33.652878571344374,0.0086834531064938
20,16,3,1.5460041087197145,0.10810833310955
24,30,3,5.084596139669943,5.084596139669943
11,5,3,42.07760066267216,0.0003256046839667
7,16,3,32.71564936211162,15.618639556515785
7,20,3,59.08605141020259,1.4817343309507165
24,11,4,6.944723630516334,0.0265182208479576
20,24,4,14.837164580560454,6.79463727971747e-06
3,24,4,26.53019953523493,10.486338101252995
2,16,4,30.693552150921228,13.25865331603806
7,11,4,22.905438103114847,12.7030859519616
5,2,4,17.614734005401107,16.96374628081488
20,3,4,18.606290203034284,0.1199712616311037
20,5,4,54.73674150728112,1.332343707420478
16,3,4,19.92043052513745,0.5965284786722261
16,1,5,60.33200475099223,28.53001757821629
24,27,5,27.665244620522035,0.6316278382088318
27,20,5,19.776201586637896,1.1695055553882352
24,26,5,19.64270873594425,19.13351181041255
7,12,5,19.222736239456523,0.7457762633615748
12,5,5,41.321931511813794,40.00352798700716
11,24,6,12.815835923038092,9.405743391508466
11,11,6,18.961740591722027,13.916319413974536
11,20,6,7.158282976842587,0.1543141286515586
20,27,6,33.57378838790942,0.0006903969911362
11,30,6,10.726340567262932,0.694001857001108
20,29,6,33.459371165956114,8.58901951431471
30,16,6,9.407135400228208,5.379572383151032
24,5,6,44.66113897488432,8.860870053563731
26,3,6,29.88131562596064,4.741262011238985
16,24,6,16.91719889523588,13.558638612563172
2,11,6,38.4224091801164,15.017802637850524
5,26,6,80.52630244584194,77.55029188658585
16,7,6,32.00054499754402,0.0833201642601931
27,7,6,27.87209511630172,26.930013030302923
20,1,6,40.318023163445226,1.7357003357416474e-05
5,7,6,27.91915776458545,24.7894265802134
1,24,6,35.721645719210706,35.42520807440477
26,16,7,3.9146519162092495,8.79610465130764e-05
24,16,7,7.911725749968553,0.6839084084169318
16,2,7,30.693552150921228,0.0131219700543616
