R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
245,125,127,163,152,177,1,49.06337879920467,2.1790532121476027
239,177,189,182,171,176,1,33.20216373098159,33.20216373098159
203,189,203,163,152,177,2,5.577982540507145,0.0009857850480211043
138,123,133,104,92,102,2,7.752270022877792,0.5382877128293914
206,199,177,138,123,133,2,34.31576962722701,31.745863462510773
104,92,102,138,123,133,2,3.366284854909854,0.1753356874766052
194,106,132,163,152,177,2,32.73105020398723,0.06746813108150435
138,123,133,163,152,177,2,12.321891386650218,0.009982759056374085
245,125,127,211,124,143,2,41.765509162684346,34.707306745328054
163,152,177,104,92,102,2,7.875854007545086,0.5507394474358628
182,171,176,182,171,176,3,0.0,0.0
203,189,203,182,171,176,3,10.763260079039615,0.00024184720396839887
163,152,177,163,152,177,3,4.606279156990006,9.472154984644351e-05
173,82,119,245,125,127,3,24.07519317049072,2.089585107061394
163,152,177,239,177,189,3,26.46467245454514,0.17064122446654761
245,125,127,182,171,176,3,96.15254427626384,4.270425632911236
239,177,189,203,189,203,3,50.76871734081975,50.2793807114495
211,124,143,138,123,133,3,39.653603932330505,26.649298441837843
182,171,176,163,152,177,3,13.856450194100645,0.1476852088371724
104,92,102,239,177,189,3,18.889667784853458,4.620772659777033
245,125,127,173,82,119,3,33.652878571344374,0.008683453106493846
163,152,177,138,123,133,3,1.5460041087197143,0.10810833310955008
182,171,176,239,225,192,3,5.084596139669943,5.084596139669943
104,92,102,245,125,127,3,42.077600662672154,0.00032560468396671807
239,177,189,138,123,133,3,32.71564936211162,15.618639556515785
239,177,189,163,152,177,3,59.08605141020259,1.4817343309507165
182,171,176,104,92,102,4,6.944723630516334,0.026518220847957692
163,152,177,182,171,176,4,14.837164580560454,6.79463727971747e-06
211,124,143,182,171,176,4,26.53019953523493,10.486338101252997
194,106,132,138,123,133,4,30.693552150921228,13.258653316038059
239,177,189,104,92,102,4,22.905438103114847,12.7030859519616
245,125,127,194,106,132,4,17.614734005401107,16.96374628081488
163,152,177,211,124,143,4,18.606290203034284,0.11997126163110372
163,152,177,245,125,127,4,54.73674150728112,1.332343707420478
138,123,133,211,124,143,4,19.920430525137455,0.5965284786722261
138,123,133,173,82,119,5,60.33200475099223,28.53001757821629
182,171,176,206,199,177,5,27.665244620522035,0.6316278382088318
206,199,177,163,152,177,5,19.776201586637896,1.1695055553882352
