R,G,B,Count,Order,H,S,L,Lt,Color
173,82,119,1428,1,335.6044006347656,35.686275482177734,50.0,40.84718049139914,#ad5277
194,106,132,855,2,342.2727355957031,41.90476608276367,58.823532,49.29281659654601,#c26a84
211,124,143,741,3,346.89654541015625,49.71428680419922,65.68627,55.812679982651524,#d37c8f
233,107,108,2252,4,359.5238037109375,74.11764526367188,66.66667,53.39795106108406,#e96b6c
245,125,127,718,5,359.0,85.71429443359375,72.54902,59.18493708018292,#f57d7f
247,152,156,1927,6,357.47369384765625,85.58557891845703,78.23529,66.90012335431092,#f7989c
239,177,189,557,7,348.3871154785156,65.95744323730469,81.56863,73.50464619669094,#efb1bd
82,79,63,1707,8,50.52631759643555,13.103448867797852,28.431374,29.727992933405762,#524f3f
87,82,84,2028,9,336.0,2.9585795402526855,33.137257,32.26528469269662,#575254
99,90,74,4176,10,38.39999771118164,14.450865745544434,33.92157,34.37586016080865,#635a4a
104,92,102,525,11,310.0,6.122448444366455,38.431374,36.44400060062704,#685c66
112,100,87,1401,12,31.19999885559082,12.562812805175781,39.019608,38.84738815800194,#706457
120,109,104,2527,13,18.75,7.142856597900391,43.92157,43.21100349021083,#786d68
129,120,101,2379,14,40.714271545410156,12.173914909362793,45.09804,45.63652248946838,#817865
131,115,94,1750,15,34.054046630859375,16.444446563720703,44.11765,44.19146664909604,#83735e
138,123,133,576,16,319.9999694824219,6.024099349975586,51.17647,49.40837986334534,#8a7b85
147,136,110,1266,17,42.162166595458984,14.624507904052734,50.39216,51.131289251298725,#93886e
156,140,123,2323,18,30.90909767150879,14.28571605682373,54.705883,54.50547023790663,#9c8c7b
156,156,132,2877,19,60.0,10.810811042785645,56.470592,57.88536606078656,#9c9c84
163,152,177,405,20,266.3999938964844,13.812155723571777,64.50981,59.04794382129096,#a398b1
165,140,132,1382,21,14.545454978942871,15.492959022521973,58.2353,56.46477220304117,#a58c84
165,148,123,2080,22,35.714290618896484,18.918922424316406,56.470592,56.719264774392364,#a5947b
173,160,127,2846,23,43.04348373413086,21.90476417541504,58.823532,59.92083851758239,#ada07f
182,171,176,508,24,332.7272644042969,7.0063700675964355,69.21569,67.75537455627627,#b6abb0
187,179,149,1249,25,47.36842346191406,21.839080810546875,65.882355,67.2445390450074,#bbb395
203,189,203,732,26,300.0,11.86440658569336,76.86275,74.63181374321266,#cbbdcb
206,199,177,1112,27,45.517242431640625,22.83464241027832,75.09804,76.07107968177831,#cec7b1
222,222,206,1768,28,60.0,19.51219367980957,83.92157,85.07915380889308,#dedece
239,222,222,1664,29,0.0,34.69388961791992,90.39216,88.0874788345539,#efdede
239,225,192,1012,30,42.12765884399414,59.49365997314453,84.5098,85.74350537654557,#efe1c0
239,239,222,5498,31,60.0,34.69388961791992,90.39216,91.66993494092972,#efefde
255,255,255,25287,32,0.0,0.0,100.0,100.0,#ffffff
