R,G,B,Count
82,79,63,1707
87,82,84,2028
99,90,74,4176
104,92,102,525
112,100,87,1401
120,109,104,2527
129,120,101,2379
131,115,94,1750
138,123,133,576
147,136,110,1266
156,140,123,2323
156,156,132,2877
163,152,177,405
165,140,132,1382
165,148,123,2080
173,82,119,1428
173,160,127,2846
182,171,176,508
187,179,149,1249
194,106,132,855
203,189,203,732
206,199,177,1112
211,124,143,741
222,222,206,1768
233,107,108,2252
239,177,189,557
239,222,222,1664
239,225,192,1012
239,239,222,5498
245,125,127,718
247,152,156,1927
255,255,255,25287
