Order1,Order2,Count,Norm,Count_Norm
1.0,2.0,172,26.73378141788065,4598.0
1.0,3.0,164,25.29928195450075,4149.0
1.0,4.0,47,32.88927090730388,1545.0
1.0,5.0,6,37.68320070856837,226.0
1.0,6.0,249,26.704224261913723,6649.0
1.0,7.0,61,25.661823732801352,1565.0
1.0,8.0,60,21.983042828252472,1318.0
1.0,9.0,103,25.16415790832373,2591.0
1.0,10.0,165,24.905641293404642,4109.0
1.0,11.0,26,21.307419593442155,553.0
1.0,12.0,46,21.201063854835997,975.0
1.0,13.0,92,23.043901616260527,2120.0
1.0,14.0,70,20.720624515285337,1450.0
1.0,15.0,75,19.832938555940515,1487.0
1.0,16.0,12,23.777748450224017,285.0
1.0,17.0,42,18.803040203773826,789.0
1.0,18.0,96,19.384843696453057,1860.0
1.0,19.0,74,21.989687818118053,1627.0
1.0,20.0,14,32.68342954457817,457.0
1.0,21.0,51,22.416111213009742,1143.0
1.0,22.0,87,23.627675364595085,2055.0
1.0,23.0,80,27.26548464459776,2181.0
1.0,24.0,15,18.897163924676274,283.0
1.0,25.0,40,23.862767393327303,954.0
1.0,26.0,38,21.238534395650014,807.0
1.0,27.0,30,15.855368696273407,475.0
1.0,28.0,74,21.82593935837716,1615.0
1.0,29.0,167,21.99488353889096,3673.0
1.0,30.0,49,25.44578803228077,1246.0
1.0,31.0,231,22.03441199388796,5089.0
1.0,32.0,163,25.09048251891629,4089.0
2.0,3.0,62,27.445883776471753,1701.0
2.0,4.0,48,32.99778391527484,1583.0
2.0,5.0,12,20.357716110973705,244.0
2.0,6.0,142,24.619227811262135,3495.0
2.0,7.0,41,22.891439137023717,938.0
2.0,8.0,41,19.16910892878744,785.0
2.0,9.0,67,24.473740940796507,1639.0
2.0,10.0,81,20.434828688667643,1655.0
2.0,11.0,15,19.344581406220094,290.0
2.0,12.0,48,24.62532309320759,1182.0
2.0,13.0,49,20.94786907214858,1026.0
2.0,14.0,44,21.362366487615844,939.0
2.0,15.0,38,23.360990143069955,887.0
2.0,16.0,11,23.737419417875063,261.0
2.0,17.0,20,20.603214506864767,412.0
2.0,18.0,63,18.855591257176677,1187.0
2.0,19.0,45,21.85655740171688,983.0
2.0,20.0,10,32.8362274795393,328.0
2.0,21.0,34,20.485212944225566,696.0
2.0,22.0,37,18.51036763818371,684.0
2.0,23.0,54,20.983936830801866,1133.0
2.0,24.0,21,24.117480529111194,506.0
2.0,25.0,23,29.953604681832232,688.0
2.0,26.0,19,21.370508613869077,406.0
2.0,27.0,30,20.401357617600524,612.0
2.0,28.0,45,23.320508772313005,1049.0
2.0,29.0,74,21.512840442446887,1591.0
2.0,30.0,27,21.602238809807954,583.0
2.0,31.0,149,21.573787941025536,3214.0
2.0,32.0,64,21.849175301479196,1398.0
3.0,4.0,39,31.06843763224952,1211.0
3.0,5.0,11,13.619352745715132,149.0
3.0,6.0,116,26.038802823657633,3020.0
3.0,7.0,42,22.406919414535405,941.0
3.0,8.0,33,18.767259565836973,619.0
3.0,9.0,41,20.54404545951929,842.0
3.0,10.0,79,22.491305952019864,1776.0
3.0,11.0,18,17.47445397795086,314.0
3.0,12.0,23,21.26394645615031,489.0
3.0,13.0,46,22.764329451522922,1047.0
3.0,14.0,33,18.83276696043383,621.0
3.0,15.0,31,18.48594602886671,573.0
3.0,16.0,7,22.861774530188633,160.0
3.0,17.0,19,25.789295180616733,489.0
3.0,18.0,47,18.41787319118298,865.0
3.0,19.0,33,16.77959539245145,553.0
3.0,20.0,11,23.74133795021206,261.0
3.0,21.0,37,21.79525507277141,806.0
3.0,22.0,35,21.167093675080444,740.0
3.0,23.0,48,24.600882147680807,1180.0
3.0,24.0,13,16.626345944800722,216.0
3.0,25.0,23,18.083553616627558,415.0
3.0,26.0,17,18.015740519259403,306.0
3.0,27.0,18,20.826484145354605,374.0
3.0,28.0,29,19.468683086577684,564.0
3.0,29.0,99,22.729087573772652,2250.0
3.0,30.0,34,21.7822854164884,740.0
3.0,31.0,142,21.78647240397784,3093.0
3.0,32.0,78,23.544730471226547,1836.0
4.0,5.0,207,35.10386536546073,7266.0
4.0,6.0,267,33.35013799427638,8904.0
4.0,7.0,94,29.88267069896407,2808.0
4.0,8.0,130,27.890280637844175,3625.0
4.0,9.0,105,29.099030062390447,3055.0
4.0,10.0,240,24.44366514293186,5866.0
4.0,11.0,21,29.642079560308446,622.0
4.0,12.0,74,25.399998838369882,1879.0
4.0,13.0,127,25.459952327354024,3233.0
4.0,14.0,102,27.649000705137055,2820.0
4.0,15.0,160,28.79534696441254,4607.0
4.0,16.0,37,28.601154287694772,1058.0
4.0,17.0,91,28.92778223033529,2632.0
4.0,18.0,173,26.814277975335852,4638.0
4.0,19.0,96,24.495934416900866,2351.0
4.0,20.0,23,34.46497748315614,792.0
4.0,21.0,98,26.99120417418964,2645.0
4.0,22.0,143,27.37923362977967,3915.0
4.0,23.0,146,28.07917856808287,4099.0
4.0,24.0,24,33.692347877193036,808.0
4.0,25.0,99,26.29262615289451,2602.0
4.0,26.0,36,31.59380813534833,1137.0
4.0,27.0,63,26.116723504284348,1645.0
4.0,28.0,98,24.269639793835513,2378.0
4.0,29.0,181,28.401813067128607,5140.0
4.0,30.0,101,26.824550548109265,2709.0
4.0,31.0,335,28.126367659455852,9422.0
4.0,32.0,345,27.735205765114323,9568.0
5.0,6.0,102,30.578282653493417,3118.0
5.0,7.0,18,28.829231015806975,518.0
5.0,8.0,55,27.065129106344504,1488.0
5.0,9.0,24,27.15745355943146,651.0
5.0,10.0,71,24.171866446067902,1716.0
5.0,11.0,10,34.413809458558624,344.0
5.0,12.0,18,24.72142750703354,444.0
5.0,13.0,35,24.526044644489104,858.0
5.0,14.0,32,23.27383809940245,744.0
5.0,15.0,58,18.411768476588563,1067.0
5.0,16.0,23,26.4083733264426,607.0
5.0,17.0,22,23.285550075567258,512.0
5.0,18.0,62,22.08523201253001,1369.0
5.0,19.0,30,21.347309768038528,640.0
5.0,20.0,5,34.28616919949342,171.0
5.0,21.0,34,27.36182067647991,930.0
5.0,22.0,51,25.87933327081509,1319.0
5.0,23.0,36,16.095631170255118,579.0
5.0,24.0,9,21.680822228488168,195.0
5.0,25.0,29,21.605493829021402,626.0
5.0,26.0,14,25.21391706821617,352.0
5.0,27.0,17,13.666240942982306,232.0
5.0,28.0,34,22.09045360986088,751.0
5.0,29.0,42,19.903803229444012,835.0
5.0,30.0,37,20.944049810895535,774.0
