R1,G1,B1,R2,G2,B2,Count
5,125,127,23,152,177,1
7,177,189,25,171,176,1
27,189,203,23,152,177,2
17,123,133,11,92,102,2
26,199,177,17,123,133,2
11,92,102,17,123,133,2
2,106,132,23,152,177,2
17,123,133,23,152,177,2
5,125,127,3,124,143,2
23,152,177,11,92,102,2
25,171,176,25,171,176,3
27,189,203,25,171,176,3
23,152,177,23,152,177,3
1,82,119,5,125,127,3
23,152,177,7,177,189,3
5,125,127,25,171,176,3
7,177,189,27,189,203,3
3,124,143,17,123,133,3
25,171,176,23,152,177,3
11,92,102,7,177,189,3
5,125,127,1,82,119,3
23,152,177,17,123,133,3
25,171,176,29,225,192,3
11,92,102,5,125,127,3
7,177,189,17,123,133,3
7,177,189,23,152,177,3
25,171,176,11,92,102,4
23,152,177,25,171,176,4
3,124,143,25,171,176,4
2,106,132,17,123,133,4
7,177,189,11,92,102,4
5,125,127,2,106,132,4
23,152,177,3,124,143,4
23,152,177,5,125,127,4
17,123,133,3,124,143,4
17,123,133,1,82,119,5
25,171,176,26,199,177,5
26,199,177,23,152,177,5
25,171,176,27,189,203,5
7,177,189,12,100,87,5
12,100,87,5,125,127,5
11,92,102,25,171,176,6
11,92,102,11,92,102,6
11,92,102,23,152,177,6
23,152,177,26,199,177,6
11,92,102,29,225,192,6
23,152,177,30,222,222,6
29,225,192,17,123,133,6
25,171,176,5,125,127,6
27,189,203,3,124,143,6
17,123,133,25,171,176,6
2,106,132,11,92,102,6
5,125,127,27,189,203,6
17,123,133,7,177,189,6
26,199,177,7,177,189,6
23,152,177,1,82,119,6
5,125,127,7,177,189,6
1,82,119,25,171,176,6
27,189,203,17,123,133,7
25,171,176,17,123,133,7
17,123,133,2,106,132,7
17,123,133,17,123,133,7
20,140,132,23,152,177,7
24,179,149,2,106,132,7
16,136,110,7,177,189,7
25,171,176,20,140,132,7
11,92,102,26,199,177,7
11,92,102,24,179,149,7
2,106,132,27,189,203,7
5,125,127,11,92,102,7
25,171,176,7,177,189,7
3,124,143,23,152,177,7
29,225,192,7,177,189,7
1,82,119,17,123,133,7
17,123,133,20,140,132,8
23,152,177,16,136,110,8
