R1,G1,B1,R2,G2,B2,Count
245,125,127,163,152,177,1
239,177,189,182,171,176,1
203,189,203,163,152,177,2
138,123,133,104,92,102,2
206,199,177,138,123,133,2
104,92,102,138,123,133,2
194,106,132,163,152,177,2
138,123,133,163,152,177,2
245,125,127,211,124,143,2
163,152,177,104,92,102,2
182,171,176,182,171,176,3
203,189,203,182,171,176,3
163,152,177,163,152,177,3
173,82,119,245,125,127,3
163,152,177,239,177,189,3
245,125,127,182,171,176,3
239,177,189,203,189,203,3
211,124,143,138,123,133,3
182,171,176,163,152,177,3
104,92,102,239,177,189,3
245,125,127,173,82,119,3
163,152,177,138,123,133,3
182,171,176,239,225,192,3
104,92,102,245,125,127,3
239,177,189,138,123,133,3
239,177,189,163,152,177,3
182,171,176,104,92,102,4
163,152,177,182,171,176,4
211,124,143,182,171,176,4
194,106,132,138,123,133,4
239,177,189,104,92,102,4
245,125,127,194,106,132,4
163,152,177,211,124,143,4
163,152,177,245,125,127,4
138,123,133,211,124,143,4
138,123,133,173,82,119,5
182,171,176,206,199,177,5
206,199,177,163,152,177,5
182,171,176,203,189,203,5
239,177,189,112,100,87,5
112,100,87,245,125,127,5
104,92,102,182,171,176,6
104,92,102,104,92,102,6
104,92,102,163,152,177,6
163,152,177,206,199,177,6
104,92,102,239,225,192,6
163,152,177,239,222,222,6
239,225,192,138,123,133,6
182,171,176,245,125,127,6
203,189,203,211,124,143,6
138,123,133,182,171,176,6
194,106,132,104,92,102,6
245,125,127,203,189,203,6
138,123,133,239,177,189,6
206,199,177,239,177,189,6
163,152,177,173,82,119,6
245,125,127,239,177,189,6
173,82,119,182,171,176,6
203,189,203,138,123,133,7
182,171,176,138,123,133,7
138,123,133,194,106,132,7
138,123,133,138,123,133,7
165,140,132,163,152,177,7
187,179,149,194,106,132,7
147,136,110,239,177,189,7
182,171,176,165,140,132,7
104,92,102,206,199,177,7
104,92,102,187,179,149,7
194,106,132,203,189,203,7
245,125,127,104,92,102,7
182,171,176,239,177,189,7
211,124,143,163,152,177,7
239,225,192,239,177,189,7
173,82,119,138,123,133,7
138,123,133,165,140,132,8
163,152,177,147,136,110,8
112,100,87,138,123,133,8
147,136,110,104,92,102,8
187,179,149,182,171,176,8
163,152,177,239,225,192,8
239,222,222,104,92,102,8
112,100,87,163,152,177,8
182,171,176,194,106,132,8
138,123,133,147,136,110,8
104,92,102,211,124,143,8
203,189,203,245,125,127,8
163,152,177,194,106,132,8
211,124,143,147,136,110,8
163,152,177,112,100,87,8
206,199,177,245,125,127,8
194,106,132,147,136,110,8
206,199,177,211,124,143,8
173,82,119,163,152,177,8
239,177,189,206,199,177,8
194,106,132,245,125,127,8
187,179,149,163,152,177,8
163,152,177,187,179,149,8
187,179,149,138,123,133,9
104,92,102,203,189,203,9
203,189,203,104,92,102,9
163,152,177,165,140,132,9
138,123,133,206,199,177,9
239,225,192,203,189,203,9
147,136,110,182,171,176,9
182,171,176,247,152,156,9
182,171,176,211,124,143,9
104,92,102,194,106,132,9
87,82,84,245,125,127,9
138,123,133,239,225,192,9
245,125,127,206,199,177,9
187,179,149,239,177,189,9
203,189,203,239,225,192,9
182,171,176,173,82,119,9
211,124,143,245,125,127,9
104,92,102,233,107,108,9
112,100,87,182,171,176,10
187,179,149,203,189,203,10
239,222,222,182,171,176,10
182,171,176,239,222,222,10
222,222,206,182,171,176,10
203,189,203,187,179,149,10
147,136,110,138,123,133,10
138,123,133,203,189,203,10
165,140,132,182,171,176,10
131,115,94,138,123,133,10
138,123,133,239,222,222,10
104,92,102,82,79,63,10
239,225,192,112,100,87,10
104,92,102,173,82,119,10
131,115,94,182,171,176,10
211,124,143,187,179,149,10
245,125,127,138,123,133,10
104,92,102,131,115,94,10
239,177,189,187,179,149,10
211,124,143,104,92,102,10
247,152,156,182,171,176,10
211,124,143,206,199,177,10
104,92,102,165,140,132,11
206,199,177,104,92,102,11
163,152,177,203,189,203,11
203,189,203,203,189,203,11
203,189,203,165,140,132,11
239,225,192,182,171,176,11
163,152,177,233,107,108,11
147,136,110,163,152,177,11
165,148,123,182,171,176,11
147,136,110,245,125,127,11
247,152,156,163,152,177,11
147,136,110,211,124,143,11
247,152,156,104,92,102,11
245,125,127,147,136,110,11
239,177,189,147,136,110,11
239,177,189,173,160,127,11
104,92,102,247,152,156,11
211,124,143,112,100,87,11
239,225,192,194,106,132,11
211,124,143,203,189,203,11
165,140,132,138,123,133,12
203,189,203,112,100,87,12
